자치구,행정동,기초생활수급가구비율,기초생활수급인원비율
양천구,목4동,0.040344150843401434,0.022404391854297268
양천구,신월1동,0.0991645925232263,0.06567927154887149
양천구,신월2동,0.04939500689232654,0.026470458261522823
양천구,신월3동,0.09596792970450382,0.06482991785047006
양천구,신월4동,0.029099858843968294,0.014996485198781535
양천구,신월5동,0.05409137690694252,0.03349760041227816
양천구,신월6동,0.03460429349567447,0.019944928183374264
양천구,신월7동,0.05733846812152332,0.0362650170342478
양천구,신정1동,0.02385247314298845,0.011520359660008897
양천구,신정2동,0.04977297147412568,0.02237114893206692
양천구,신정3동,0.05203385177982385,0.030696552006217022
양천구,신정6동,0.0028158380689064146,0.001101256612455999
양천구,신정7동,0.08748989445734161,0.045329945844754964
양천구,목5동,0.0016207554930718845,0.0007414358368377762
양천구,신정4동,0.053722413204922985,0.03429451088273444
강서구,염창동,0.006996761400045029,0.0032851267737832065
강서구,등촌1동,0.011431682090364723,0.007753616910681799
강서구,등촌2동,0.02367927477336668,0.014398683548932669
강서구,등촌3동,0.23778914490063824,0.15271831387924947
강서구,화곡본동,0.05063238518857239,0.03477553082504175
강서구,화곡2동,0.05165358149686259,0.033013220572127265
강서구,화곡3동,0.03321769060562187,0.019712140175219023
강서구,화곡4동,0.04785592204280503,0.02933327353053307
강서구,화곡6동,0.041169998166147075,0.02546779674896614
강서구,화곡8동,0.03775899771223199,0.02449495917506804
강서구,가양1동,0.006254828411068812,0.004987838295514024
강서구,가양2동,0.25402828017099643,0.17415890968008388
강서구,가양3동,0.1848942986638665,0.12395453570662664
강서구,발산1동,0.039621691197045165,0.024216395223988718
강서구,공항동,0.04244511522146722,0.0271668108446375
강서구,방화1동,0.02847735674676525,0.014755711006667395
강서구,방화2동,0.0778903603773859,0.049745166589444424
강서구,방화3동,0.11654800974937582,0.07143290524825564
강서구,화곡1동,0.0353683056114056,0.022983065607754417
강서구,우장산동,0.018540023629441883,0.009157068863780406
구로구,신도림동,0.007133203183661211,0.003443591019760294
구로구,구로1동,0.005233151803948263,0.0026450116009280743
구로구,구로3동,0.01608598871029233,0.011124004641671001
구로구,구로4동,0.04572035320846638,0.029096974470648195
구로구,구로5동,0.017687463223942164,0.01022916632294468
구로구,고척1동,0.034819808368325544,0.02021917921733546
구로구,고척2동,0.04517324967916725,0.02621832526571463
구로구,개봉2동,0.03207000903934079,0.017110980799013638
구로구,개봉3동,0.047159166969459376,0.02722697650687632
구로구,오류1동,0.047758489589231685,0.030229202639733187
구로구,오류2동,0.04253109961861783,0.024190727639937265
구로구,수궁동,0.036077965094059194,0.022067039106145252
구로구,가리봉동,0.07921182266009853,0.058736374219494125
구로구,구로2동,0.04824034999419258,0.030701078582434514
구로구,개봉1동,0.049016392465071355,0.030261841102929097
금천구,가산동,0.032486218265959606,0.024904263143212195
금천구,독산1동,0.05628228668195181,0.037275643574856174
금천구,독산2동,0.07663990774825918,0.05094592581558171
금천구,독산3동,0.050974205576840334,0.033889581724963876
금천구,독산4동,0.06802084579983243,0.047636430005475454
금천구,시흥1동,0.058421069751808045,0.03628667347832433
금천구,시흥2동,0.09416817139231859,0.048548331015299026
금천구,시흥3동,0.044100580270793034,0.025514616848296142
금천구,시흥4동,0.0719627102319707,0.04448116780279557
금천구,시흥5동,0.09525079331217834,0.06046466413920482
영등포구,여의동,0.004315531764803519,0.0021841113589171728
영등포구,당산1동,0.02990724642646089,0.016790679459565302
영등포구,당산2동,0.007817630319897432,0.004210707226948526
영등포구,양평1동,0.022711860975881296,0.013865225309911286
영등포구,양평2동,0.014594355111933492,0.008058919657048197
영등포구,신길1동,0.0511792871076432,0.03413476657423025
영등포구,신길3동,0.06410885880620046,0.03932442651877993
영등포구,신길4동,0.0771164536345289,0.05288773523685918
영등포구,신길5동,0.06203913900810287,0.043091008608249985
영등포구,신길6동,0.033235698487656166,0.02041942604856512
영등포구,신길7동,0.01666078018244041,0.00914306202940122
영등포구,대림1동,0.04959354638535527,0.03616059558628024
영등포구,대림2동,0.04279537848994845,0.03154099140151365
영등포구,대림3동,0.041913354008081945,0.02606581823381611
영등포구,영등포본동,0.0555246547846485,0.029357798165137616
영등포구,영등포동,0.08059235489256522,0.055146124523506986
영등포구,도림동,0.04425391145842124,0.031091675110660764
영등포구,문래동,0.016766812731232456,0.00781300032020493
동작구,노량진2동,0.07702146461710194,0.05600245154370643
동작구,상도1동,0.030321301071003576,0.018486184468985988
동작구,상도2동,0.02763049494074653,0.017149461283227082
동작구,상도3동,0.04482246914473921,0.03136545869035453
동작구,상도4동,0.04928083908533529,0.030498216429138983
동작구,사당1동,0.028201357693934694,0.019916507218646722
동작구,사당3동,0.021728808376053246,0.012252366934521442
동작구,사당4동,0.039800258923617535,0.025052904635128676
동작구,사당5동,0.03437334743521946,0.0223338485316847
동작구,대방동,0.047540796417560705,0.03101458768990451
동작구,신대방1동,0.024721463107000213,0.013147286821705427
동작구,신대방2동,0.032590258145247256,0.020634257780834706
동작구,흑석동,0.034295600909935595,0.02103554510219631
동작구,노량진1동,0.036552038260077434,0.02219053141307925
동작구,사당2동,0.02549868073878628,0.014480485564540822
관악구,보라매동,0.043986292904892976,0.029881918226363564
관악구,청림동,0.05251144431693508,0.0280969838873656
관악구,행운동,0.035462946730446546,0.026135571906809183
관악구,낙성대동,0.019584696682802386,0.017622987544430837
관악구,중앙동,0.031010383951560423,0.022353891731753298
관악구,인헌동,0.02101525592032016,0.014287046535484472
관악구,남현동,0.016685419468152253,0.010312339713306157
관악구,서원동,0.030384192076952934,0.024812796313527404
관악구,신원동,0.04965680317908634,0.036826192356930784
관악구,서림동,0.031416939260584094,0.025681780157269532
관악구,신사동,0.04102926178708716,0.03339721983565748
관악구,신림동,0.022573651319984695,0.02011200389578768
관악구,난향동,0.0502507367006152,0.02807921034884434
관악구,조원동,0.03125442063657166,0.022901202600840095
관악구,대학동,0.029467236237607802,0.024008777402491233
관악구,은천동,0.0552738583161885,0.03348483976756228
관악구,성현동,0.06798648986419364,0.03689222135332812
관악구,청룡동,0.023467397013581453,0.018925969236304758
관악구,난곡동,0.07820843875818738,0.04958935981803344
관악구,삼성동,0.07410881124329939,0.04489337822671156
관악구,미성동,0.046655524341239644,0.02891476939235736
서초구,서초1동,0.02012835472578763,0.011763861989814217
서초구,서초2동,0.007773363275177058,0.004472005247152824
서초구,서초3동,0.01380054188568421,0.008515078082929456
서초구,서초4동,0.0022258116870570595,0.0009489218284741991
서초구,잠원동,0.012925695204926126,0.006436727555953973
서초구,반포본동,0.0035426097224955716,0.002446084226833544
서초구,반포1동,0.013624081896715759,0.008136308703126862
서초구,반포2동,0.0002808298522132903,9.982281450425494e-05
서초구,반포3동,0.002518363064008394,0.0010480532411046481
서초구,반포4동,0.006249080185208247,0.0039331869029984165
서초구,방배본동,0.0199853610412755,0.010435603824814071
서초구,방배1동,0.023112120503657192,0.01247328199572512
서초구,방배2동,0.0242583754816001,0.01453584407003634
