자치구,행정동,전입수,전출수,전입비율,전출비율
관악구,행운동,6457,6441,0.21945043927472938,0.2189066562441586
광진구,광장동,4269,4603,0.11888218994973475,0.12818334980993887
광진구,구의1동,4078,4309,0.18313274654212322,0.19350637686366085
광진구,구의2동,5266,3329,0.2010844661677104,0.12711929127844815
광진구,구의3동,4373,4512,0.14661950344503863,0.15127994501349518
광진구,군자동,3238,3530,0.16425708923045707,0.17906964946989296
광진구,능동,2315,2337,0.20391984144461572,0.20585774058577405
광진구,자양1동,4083,4111,0.17850741048397675,0.1797315612293971
광진구,자양2동,3544,3952,0.132369693913758,0.1476086428744841
광진구,자양3동,3654,4168,0.12311320754716981,0.14043126684636117
광진구,자양4동,2328,4295,0.11703785631692726,0.21592680106580867
광진구,중곡1동,2878,2792,0.18359275325338095,0.17810665986220975
광진구,중곡2동,3396,3591,0.15363387545522406,0.16245560858648692
광진구,중곡3동,2696,2878,0.15527717782577394,0.16575953923686104
광진구,중곡4동,3849,4465,0.12577403806878523,0.14590311249080956
광진구,화양동,5761,5902,0.27439213164725773,0.2811078564454288
구로구,가리봉동,1451,1837,0.15356122340988465,0.19441210710128057
구로구,개봉1동,4121,4764,0.12310863493106693,0.14231728629255105
구로구,개봉2동,3485,4246,0.1048009983911468,0.127685807508984
구로구,개봉3동,2699,2961,0.12518843201372945,0.13734084742225006
구로구,고척1동,2698,3079,0.11178554411551449,0.12757141969298336
구로구,고척2동,3120,3872,0.10749168834300873,0.13339994143081083
구로구,구로1동,2113,2691,0.09805104408352668,0.1248723897911833
구로구,구로2동,2921,3803,0.11251926040061633,0.14649460708782744
구로구,구로3동,4412,5295,0.17654355568004482,0.2118762754591653
구로구,구로4동,2891,3944,0.13394801464115275,0.182736412917574
구로구,구로5동,4874,5537,0.16082889244526571,0.18270610945207966
구로구,수궁동,2873,3316,0.11464485235434956,0.13232242617717477
구로구,신도림동,4016,4502,0.10804266824497921,0.12111755289813159
구로구,오류1동,4442,3490,0.210137900040211,0.16510159188211085
구로구,오류2동,4992,5206,0.11264935856209593,0.11747847769917295
금천구,가산동,5670,4842,0.2875909817148944,0.2455935685120844
금천구,독산1동,8266,6210,0.2191468490681089,0.164638511095204
금천구,독산2동,2087,2907,0.10362977307711406,0.14434678981081484
금천구,독산3동,3261,3648,0.1291050537442841,0.14442662865965913
금천구,독산4동,1928,2502,0.11729634361501491,0.15221755794853076
금천구,시흥1동,4490,5299,0.13107575536418042,0.1546927455845862
금천구,시흥2동,2250,2758,0.09779207232267037,0.11987134909596663
금천구,시흥3동,1179,1537,0.10197197716658017,0.13293547829095312
금천구,시흥4동,2310,2855,0.1060386972388625,0.1310564851155638
금천구,시흥5동,2353,2950,0.11436764848838339,0.14338485467094392
노원구,공릉1동,5231,5763,0.13512605910312048,0.14886856788592684
노원구,공릉2동,5372,5916,0.13148619541805365,0.14480125318190717
노원구,상계10동,2215,2708,0.13035929729570667,0.1593738045493335
노원구,상계1동,3981,4631,0.09783730646350455,0.11381174735807324
노원구,상계2동,2889,3179,0.13540812261254717,0.1490004921375173
노원구,상계3.4동,2239,3231,0.08461509391179471,0.12210422886512226
노원구,상계5동,2847,3602,0.1090470353914509,0.13796537459782443
노원구,상계6.7동,3984,4736,0.11301165858224832,0.13434317646725102
노원구,상계8동,3082,4087,0.12530492763050902,0.1661652301187185
노원구,상계9동,2468,3022,0.11039048172831775,0.13517019278078454
노원구,월계1동,3186,3414,0.1365418818437011,0.14631324061970985
노원구,월계2동,2406,3002,0.09057029926595143,0.11300583474496519
노원구,월계3동,3274,4230,0.10091700701240656,0.1303845264699083
노원구,중계1동,3474,3913,0.12268248755164742,0.13818554225376983
노원구,중계2.3동,3239,4144,0.08580132450331125,0.10977483443708609
노원구,중계4동,2594,2811,0.11964668711514956,0.12965568137266206
노원구,중계본동,2836,3349,0.10579918300348809,0.12493704650165079
노원구,하계1동,4259,4157,0.14624180201215534,0.1427394155821859
노원구,하계2동,2291,2853,0.09589585818630837,0.11941985307967602
도봉구,도봉1동,2375,2863,0.10553444866582239,0.12721900064431557
도봉구,도봉2동,3671,3952,0.1283207494407159,0.13814317673378076
도봉구,방학1동,3968,4151,0.13211473472173668,0.13820772777971999
도봉구,방학2동,2360,2953,0.11032677294189144,0.1380487120751718
도봉구,방학3동,2845,3319,0.09739815131804176,0.11362547072920233
도봉구,쌍문1동,2846,2760,0.1305953883216703,0.1266490765171504
도봉구,쌍문2동,2789,2813,0.13874586473646244,0.1399398054871527
도봉구,쌍문3동,2452,2548,0.14404041590788932,0.1496798449157023
도봉구,쌍문4동,2211,2563,0.11029631846752469,0.12785593135787687
도봉구,창1동,2901,3541,0.10918328942416258,0.13327060594655626
도봉구,창2동,3247,3746,0.10468452783957184,0.12077247960795692
도봉구,창3동,1747,1951,0.11718933422773771,0.13087372128123428
도봉구,창4동,3017,3480,0.10642350700201066,0.12275565275671099
도봉구,창5동,3089,3573,0.11949941004661599,0.1382231764637614
동대문구,답십리1동,8102,3970,0.3078852365570967,0.15086452593577807
동대문구,답십리2동,3248,4022,0.11338406758360679,0.14040354674300076
동대문구,용신동,5415,6338,0.1795960332990614,0.21020861662963086
동대문구,이문1동,3498,7799,0.14072777744252007,0.3137609880715306
동대문구,이문2동,2525,2987,0.11811760303129532,0.13972961594236796
동대문구,장안1동,5032,5492,0.13200939176515342,0.14407702296785024
동대문구,장안2동,4647,4505,0.15102863271474537,0.14641359810198576
동대문구,전농1동,5365,4296,0.1843579258444727,0.14762379299680423
동대문구,전농2동,2349,2542,0.1188945690135142,0.12866325859189148
동대문구,제기동,3857,4113,0.15649598312099328,0.16688306418891505
동대문구,청량리동,2512,2893,0.11666357049972134,0.13435816459223482
동대문구,회기동,2315,2249,0.22989076464746772,0.22333664349553128
동대문구,휘경1동,2346,2500,0.1837909828038701,0.19585569352501078
동대문구,휘경2동,3688,3899,0.15126222750856183,0.15991633000430655
동작구,노량진1동,5415,5463,0.1697199542398646,0.17122439704753098
동작구,노량진2동,2167,2515,0.16601547536964684,0.1926760131770474
동작구,대방동,5868,6275,0.1478420800685294,0.1580962938701469
동작구,사당1동,5281,5205,0.22964863454513829,0.22634371194990432
동작구,사당2동,4272,4492,0.15388217495452336,0.16180681879581435
동작구,사당3동,5485,3789,0.21819556050600683,0.15072798154188877
동작구,사당4동,2749,2684,0.18765786060481945,0.18322069765854324
동작구,사당5동,2058,2216,0.15904173106646058,0.1712519319938176
동작구,상도1동,7399,7921,0.1614867519315553,0.1728796542843424
동작구,상도2동,4703,4624,0.17533460090221079,0.1723893673340044
동작구,상도3동,3817,4032,0.1500275135602547,0.15847810706705448
동작구,상도4동,4223,4396,0.14278710419096888,0.14863654037970617
동작구,신대방1동,2912,3360,0.12039276485788114,0.13891472868217053
동작구,신대방2동,3810,3626,0.18718219558328625,0.17814242550787296
동작구,흑석동,4940,5507,0.1636466028422831,0.18242952264219697
마포구,공덕동,5908,6175,0.15088557163106078,0.1577045370382194
마포구,대흥동,2516,2761,0.22141065692788314,0.2429709156509878
마포구,도화동,3044,3364,0.13744835527058452,0.15189759104147382
