자치구,행정동,전체독거노인비율,국민기초생활보장수급권자비율,저소득노인비율,일반독거노인비율
강북구,수유2동,0.040391233472197065,0.00815069733743887,0.004347038579967397,0.0278934975547908
강북구,수유3동,0.04525506818230471,0.00890544388071843,0.0034679853573951576,0.032881638944191126
강북구,우이동,0.048677149044346106,0.007673477073721872,0.0032953582525185954,0.03770831371810564
강북구,인수동,0.04618095267534234,0.009767858798800655,0.00451299805261043,0.03190009582393125
강서구,가양1동,0.009883309215185196,0.00046183687921426154,0.0005849933803380646,0.00883647895563287
강서구,가양2동,0.06531753343711282,0.03240461289195285,0.007370460971503002,0.025542459573656955
강서구,가양3동,0.04846665236971907,0.01703379185686713,0.005269446401764652,0.02616341411108728
강서구,공항동,0.048480609596731145,0.0038651966648874493,0.0021718724116986617,0.04244354052014504
강서구,등촌1동,0.023520748505587802,0.0014727540500736377,0.00077969332062722,0.021268301134886945
강서구,등촌2동,0.01586140695707821,0.002331215431731956,0.0012341728756228001,0.012296018649723454
강서구,등촌3동,0.05810686977030661,0.023465080295041088,0.0035453002238346326,0.031096489251430888
