자치구,행정동,혼인,이혼
종로구,청운효자동,43,11
종로구,평창동,69,21
종로구,혜화동,64,17
중구,광희동,26,9
중구,다산동,127,34
중구,동화동,31,15
중구,명동,15,9
중구,소공동,20,4
중구,신당5동,52,28
중구,신당동,58,25
중구,약수동,82,38
중구,을지로동,5,10
중구,장충동,26,8
중구,중림동,106,19
중구,청구동,74,12
중구,필동,28,4
중구,황학동,111,30
중구,회현동,17,14
중랑구,망우3동,64,52
중랑구,망우본동,181,84
중랑구,면목2동,107,72
중랑구,면목3.8동,137,50
중랑구,면목4동,87,39
중랑구,면목5동,35,25
중랑구,면목7동,83,38
중랑구,면목본동,351,102
중랑구,묵1동,235,75
중랑구,묵2동,81,40
중랑구,상봉1동,211,54
중랑구,상봉2동,124,40
중랑구,신내1동,153,63
중랑구,신내2동,99,35
중랑구,중화1동,197,63
중랑구,중화2동,108,84
