자치구,행정동,전체세대수,1인세대비율,2인세대비율,3인세대비율,4인세대비율,5인세대비율,6인세대비율,7인세대비율,8인세대비율,9인세대비율,10세대이상비율
성북구,종암동,17011.75,0.35784090408100283,0.20154696998643093,0.1939688744544212,0.18550413684659134,0.04714878441861263,0.009900020084157518,0.003174276602936206,0.0004702632004349935,0.0002547259002356214,0.0001910444251767161
송파구,가락1동,362.5,0.3705747126436782,0.16022988505747127,0.17471264367816092,0.2264367816091954,0.05931034482758621,0.003218390804597701,0.005517241379310344,0.0,0.0,0.0
송파구,가락2동,12247.083333333334,0.22267886911849757,0.1923383118429558,0.23883237505528526,0.2716633211989249,0.05705440070765148,0.013214030551491852,0.0032456707379307998,0.0007348688463239547,0.0001428911645629912,9.526077637532746e-05
송파구,가락본동,11627.333333333334,0.35643025055902755,0.20083424115589701,0.1968708789633622,0.1907359096382088,0.044378189324006646,0.007941058425548993,0.002200275213577203,0.00035118399174359266,7.167020239665157e-05,0.00018634252623129407
송파구,거여1동,5327.583333333333,0.31923480001877025,0.2185637640581252,0.1994650482551501,0.1956640753312165,0.05164943454662058,0.012419639924293381,0.002127293488292065,0.000688242010918021,0.0,0.00018770236661400574
송파구,거여2동,7242.833333333333,0.33072922659180337,0.24134201624594429,0.19875969349011666,0.1771981498952988,0.03850933106288976,0.010286029868605748,0.00182939457394666,0.000793888211335343,0.00013806751501484226,0.0004142025450445268
송파구,마천1동,9271.666666666666,0.38188926838037035,0.22154413086464142,0.1751662771885673,0.1585205824195578,0.04973036131583678,0.00947330577026784,0.003154772604709689,0.0003055905087183175,0.00021571094733057705,0.0
송파구,마천2동,8589.083333333334,0.34597211576710746,0.236666699007461,0.1905519603372498,0.16748973988299098,0.04309734255692788,0.012040477738214206,0.0027069244874792613,0.0011157574052333874,9.702238306377281e-05,0.00026196043427218656
송파구,문정1동,8477.75,0.30801214945003097,0.2109738236363815,0.20785782391161178,0.20944039790431815,0.04876490421004001,0.011628478468147012,0.0016415519054780651,0.0010714320820186174,0.0005701198234594478,3.931860851444467e-05
송파구,문정2동,14723.25,0.5179393136705551,0.18569269692493165,0.1318606059576973,0.12594592452979697,0.028260291262685432,0.007024037944520854,0.0017545944905732996,0.0011150164988481938,0.0002829991113827903,0.00012451960900842772
송파구,방이1동,6170.333333333333,0.27428285884068937,0.19335800334935985,0.21196855923504945,0.24394954351466697,0.05679055696612825,0.014869537032035007,0.0034438982226784078,0.0008643509264761493,0.00017557128194046782,0.0002971206309761763
송파구,방이2동,12579.916666666666,0.5023483197424466,0.197841798104121,0.14912658403937493,0.11505773090706749,0.027861869779211575,0.006233480613941534,0.001357984618340079,5.961883690273518e-05,3.3121576057075105e-05,7.949178253698024e-05
송파구,삼전동,16201.25,0.484833989146928,0.19749504925031502,0.15508062649486923,0.1270015173726307,0.02858318545379729,0.004778437877735772,0.0017179744361288994,0.00021603271352519095,0.00012859090090785178,0.00016459635316205026
송파구,석촌동,16461.0,0.47294615555960556,0.2063463135086973,0.15765040601016544,0.12386347528501712,0.028542210882287426,0.007937954356762448,0.001675677864852277,0.0007340582791648949,0.00026324848632120363,4.049976712633902e-05
송파구,송파1동,12180.25,0.44630309996373907,0.21077153588801542,0.16466547621491076,0.1332827049253231,0.03366789132680637,0.007997920130265526,0.002216703269637323,0.000711534382846548,0.000177883595711637,0.00020525030274419655
송파구,송파2동,7301.0,0.1955668173309592,0.19812354471990137,0.24104004017714467,0.2782381408939415,0.06763913619138931,0.01445007533214628,0.003001871889695476,0.0014153312331644068,0.00041090261607998904,0.00011413961557777473
송파구,오금동,15022.833333333334,0.2650354460432453,0.2154442681695641,0.22790862797741215,0.22415323341136267,0.05271420171516691,0.011055393456627134,0.0030342700555820584,0.0005990880548498396,0.0,5.5471116189799974e-05
송파구,오륜동,6022.833333333333,0.10745219581038824,0.1692586545645737,0.26049478373965745,0.36219110606857235,0.07994576196142458,0.014209812657387166,0.004690483438027506,0.0011207349807676344,0.0004565957329053325,0.00017987104629604007
송파구,위례동,9089.416666666666,0.11891118792001687,0.18640726852658313,0.25587450606474565,0.3249566803883638,0.09132415904944396,0.01813464377068569,0.0030713375445802354,0.0008984808339369047,0.0003208860121203231,0.00010084988952353012
송파구,잠실2동,12058.0,0.15775833471554154,0.15126195610106707,0.25446453253718143,0.36257394813954774,0.059262177254381605,0.011465417150439541,0.002204622104273788,0.0008016807651904682,0.00012439873942610716,8.29324929507381e-05
송파구,잠실3동,12405.083333333334,0.16554369512498238,0.2006972947917856,0.26153257065315966,0.300233103364884,0.056878564566945004,0.011326002109350333,0.0026601997836908256,0.0007725327654657701,8.061211465729774e-05,0.0002754247250791006
송파구,잠실4동,10423.75,0.17055602190510452,0.20373346124635247,0.27450933365311586,0.2806011911899908,0.05484270695926769,0.012671383459247712,0.0017508094495742896,0.0008794020066354878,0.0004476955670144302,7.994563696686253e-06
송파구,잠실6동,5905.833333333333,0.16097079159023564,0.21689008042895444,0.2623536051926062,0.2763228446451249,0.06363764639480739,0.013574149851841402,0.003950896006772965,0.001566248059827854,0.0004233102864399605,0.00031042754338930437
송파구,잠실7동,3491.4166666666665,0.14103635105138793,0.22517125331169296,0.25426641525646226,0.2975392032842447,0.0631787478817099,0.013008091271451416,0.00400983363964007,0.001169534811561687,0.0006205694918490584,0.0
송파구,잠실본동,14485.5,0.4994994994994995,0.19627673650662156,0.1457319388353871,0.12158710434572503,0.027423975699837767,0.006920713817265541,0.0019617318467893183,0.0005177591384487936,5.7528793160977065e-06,7.478743110927019e-05
송파구,장지동,13377.583333333334,0.26746235929508944,0.22939494552454043,0.22366396521544127,0.2114544854264908,0.053235823610393,0.011673757716578106,0.0023609147142919433,0.0007163725386373971,3.737595853760333e-05,0.0
송파구,풍납1동,6880.666666666667,0.37140296482898943,0.23622953202209088,0.18824484061621935,0.15995300842941573,0.03325743629493266,0.008489971901947484,0.0012474566417982754,0.0007630074605173917,0.0004117818040887511,0.0
송파구,풍납2동,10388.0,0.3565973559235015,0.19200840713643946,0.20359228597099216,0.1949364651520986,0.03972532409190091,0.010348479014247208,0.002222115261198819,0.0003930817610062893,0.00013637530483891672,4.011038377615197e-05
양천구,목1동,10524.5,0.15021299507498379,0.1583448144804979,0.26539661424929134,0.3404516445753559,0.0661314076678227,0.013864474955263115,0.004212393304511695,0.0007838852202004846,0.0003008852360365496,0.0003008852360365496
양천구,목2동,12844.666666666666,0.3266465978097265,0.2173859448798464,0.20337234649919553,0.19358877874085226,0.04717911454819121,0.008797425650075259,0.0021279908652099447,0.0005125343852182488,0.0001102922094773447,0.00027897441220740127
양천구,목3동,9492.0,0.34860935524652337,0.22727033291192583,0.20524301165894088,0.16958140188228685,0.03595132743362832,0.008963688720325888,0.00331858407079646,0.0006496698974575081,0.00030727630285152407,0.00010535187526337969
